lambda;stepsize;epsilon;batch_size;layer_number;neuron;activation;activation_output;initialization;mse_train;mse_test;mse_train_variance;mse_test_variance;acc_train;acc_test;acc_train_variance;acc_validation_variance
0.0001;0.8;0.0009;32;1;100;tanh;linear;uniform;22.734.741.026.099.000;27.777.706.640.868;9.893.375.116.502.450;14.612.471.251.439.600;0.8041666666666667;0.6833333333333332;0.02503472222222222;0.0001388888888888879
0.002;0.8;0.0009;32;1;100;tanh;linear;uniform;5.056.976.402.122.860;5.837.011.000.046.720;44.344.320.304.177.800;547.256.013.904.906;0.6541666666666667;0.6833333333333332;0.016493055555555563;0.0038888888888888896
0.002;0.8;0.0009;32;1;150;tanh;linear;uniform;2.313.754.391.245.160;18.570.181.567.937.700;32.085.703.657.088.700;14.901.744.266.402.400;0.7374999999999999;0.6416666666666667;0.04031250000000001;0.009305555555555556
0.0001;0.8;0.0009;32;1;150;tanh;linear;uniform;1.737.566.286.956.610;19.981.353.751.087.200;0.8570148131506515;13.332.079.558.153.000;0.65;0.65;0.000729166666666667;0.015416666666666669
0.002;0.3;0.0009;32;1;100;tanh;linear;uniform;38.557.900.401.607.700;41.153.096.449.639.000;2.251.549.032.512.170;23.398.877.855.891.500;0.7916666666666666;0.7416666666666666;0.010659722222222223;0.0034722222222222225
0.0001;0.3;0.0009;32;1;50;sigmoid;linear;uniform;0.06733626574106531;0.12214668924362108;5,91E+11;0.0008375958727861336;0.9583333333333334;0.8916666666666666;3,47E+10;0.004305555555555552
0.0001;0.8;0.0009;32;1;100;sigmoid;linear;xavier;0.10584612034697144;0.12712767325845095;0.00032344532896146967;0.0007895583307101611;0.9375;0.9250000000000002;0.0003124999999999996;0.0004166666666666656
0.0001;0.8;0.0009;32;1;50;sigmoid;linear;xavier;0.1280481971813077;0.13177201300233832;0.0003116923726817261;0.0011964531706275053;0.8833333333333333;0.8833333333333333;0.00597222222222222;0.0018055555555555587
0.002;0.3;0.0009;32;1;100;sigmoid;linear;uniform;0.078883953036695;0.13181429839144157;0.00022282152723792636;0.0006682039254249312;0.9375;0.8916666666666666;0.0004166666666666674;0.00013888888888888913
0.0001;0.3;0.0009;32;1;100;sigmoid;linear;xavier;0.13027207868286575;0.13333173360057726;0.0008440543244152349;0.0013597117152296656;0.8958333333333334;0.9;0.002743055555555556;0.0029166666666666664
0.0001;0.3;0.0009;32;1;50;sigmoid;linear;xavier;0.10413698624926804;0.15030338297880483;8,92E+10;0.002062805959954048;0.9291666666666666;0.8666666666666667;0.0008680555555555555;0.0022222222222222214
0.0001;0.3;0.0009;32;1;150;tanh;linear;xavier;0.1010504377154292;0.16147247098085235;0.0039776312987933595;0.0011064850862102648;0.9125;0.8083333333333335;0.0054166666666666695;0.000972222222222221
0.0001;0.3;0.0009;32;1;150;sigmoid;linear;uniform;0.08831331200549127;0.16372207340575487;0.0006126487272920734;0.002708000141035238;0.9125;0.8166666666666668;0.0013541666666666648;0.0026388888888888885
0.002;0.8;0.0009;32;1;150;sigmoid;linear;xavier;0.13580082867418933;0.16659682846311272;0.0005567233821254883;0.001188082990434807;0.8791666666666668;0.7666666666666666;0.00315972222222222;0.008472222222222221
0.0001;0.8;0.0009;32;1;50;sigmoid;linear;uniform;0.16845056290195914;0.16724800648976715;0.007036545937644179;2,91E+11;0.7958333333333333;0.7916666666666666;0.01815972222222222;0.0038888888888888896
0.002;0.3;0.0009;32;1;50;tanh;linear;xavier;0.09631621772881342;0.16909144702868595;0.00010181380780045775;0.0010498441723955612;0.9083333333333333;0.8249999999999998;3,47E+10;0.0004166666666666656
0.0001;0.8;0.0009;32;1;150;sigmoid;linear;uniform;0.09851617786423195;0.17435996792197225;0.00046389022647080387;0.007165016560508917;0.9333333333333332;0.8500000000000001;0.0006597222222222222;0.003750000000000001
